"method","beta","lb","ub","tau","name","dithering"
"pbs",-1.070348039163e-15,-0.807389750162873,0.396516920171456,0.3,"arsenic.t1.res","No"
"bayes",-0.207035409068444,-0.506327971070438,0.0943712423147397,0.3,"arsenic.t1.res","No"
"bayes_adj_v2",-0.207110494344272,-0.696357234946625,0.282136246258082,0.3,"arsenic.t1.res","No"
"nid",-2.37687682518329e-16,-0.560802105434514,0.560802105434513,0.5,"arsenic.t1.res","No"
"riid",-2.37687682518329e-16,-0.799007052571404,-2.37687682516447e-16,0.5,"arsenic.t1.res","No"
"rnid",-2.37687682518329e-16,-0.800375776295899,-2.3768768251644e-16,0.5,"arsenic.t1.res","No"
"xy",-2.37687682518329e-16,-0.535146218342565,0.535146218342565,0.5,"arsenic.t1.res","No"
"wild",-2.37687682518329e-16,-0.448155547370123,0.448155547370123,0.5,"arsenic.t1.res","No"
"pbs",-2.37687682518329e-16,-0.772730474976386,0.360934683352631,0.5,"arsenic.t1.res","No"
"bayes",-0.223000302420788,-0.551225966867852,0.0622425221132062,0.5,"arsenic.t1.res","No"
"bayes_adj_v2",-0.222938078790374,-0.814306454567272,0.368430296986525,0.5,"arsenic.t1.res","No"
"nid",-3.58889123328029e-16,-0.717508692346348,0.717508692346347,0.7,"arsenic.t1.res","No"
"riid",-3.58889123328029e-16,-0.949964005026142,-3.58889123327897e-16,0.7,"arsenic.t1.res","No"
"rnid",-3.58889123328029e-16,-0.95023266838944,-3.58889123327897e-16,0.7,"arsenic.t1.res","No"
"xy",-3.58889123328029e-16,-0.704382826398463,0.704382826398462,0.7,"arsenic.t1.res","No"
"wild",-3.58889123328029e-16,-0.437308558834728,0.437308558834727,0.7,"arsenic.t1.res","No"
"pbs",-3.58889123328029e-16,-0.958730833708667,0.427109390978933,0.7,"arsenic.t1.res","No"
"bayes",-0.251376261722933,-0.614696156404247,0.0559248936419851,0.7,"arsenic.t1.res","No"
"bayes_adj_v2",-0.251640639978762,-0.89084672540951,0.387565445451985,0.7,"arsenic.t1.res","No"
"nid",0.784516124485444,0.13964401868021,1.42938823029068,0.9,"arsenic.t1.res","No"
"riid",0.784516124485444,-0.75628593115324,1.28674551373807,0.9,"arsenic.t1.res","No"
"rnid",0.784516124485444,-0.908804878226066,1.53509103000146,0.9,"arsenic.t1.res","No"
"xy",0.784516124485444,-0.418244049462427,1.98727629843332,0.9,"arsenic.t1.res","No"
"wild",0.784516124485444,-0.0845143898258417,1.65354663879673,0.9,"arsenic.t1.res","No"
"pbs",0.784516124485444,-0.858346081024867,1.72839393604396,0.9,"arsenic.t1.res","No"
"bayes",0.6069164005939,0.01550175489566,1.13465222070271,0.9,"arsenic.t1.res","No"
"bayes_adj_v2",0.607761523690339,-0.559932174833507,1.77545522221419,0.9,"arsenic.t1.res","No"
"nid",0.312832114871518,-0.283987528811869,0.909651758554906,0.1,"lead.t1.res","No"
"riid",0.312832114871518,-0.95553992966183,1.44503866212473,0.1,"lead.t1.res","No"
"rnid",0.312832114871518,-0.958462234108318,1.49395520785861,0.1,"lead.t1.res","No"
